txId,hybrid_score,prediction,top_positive_factors,top_negative_factors
71989979,0.9973,suspicious,"[{""feature"": ""V54"", ""category"": ""Transaction Profile"", ""impact"": ""+1.4150"", ""direction"": ""increased_risk""}, {""feature"": ""V91"", ""category"": ""Transaction Profile"", ""impact"": ""+1.0395"", ""direction"": ""increased_risk""}, {""feature"": ""V77"", ""category"": ""Transaction Profile"", ""impact"": ""+0.7122"", ""direction"": ""increased_risk""}, {""feature"": ""V56"", ""category"": ""Transaction Profile"", ""impact"": ""+0.5615"", ""direction"": ""increased_risk""}, {""feature"": ""V162"", ""category"": ""Network Context"", ""impact"": ""+0.5570"", ""direction"": ""increased_risk""}]","[{""feature"": ""V9"", ""category"": ""Transaction Profile"", ""impact"": ""-0.4971"", ""direction"": ""decreased_risk""}, {""feature"": ""V4"", ""category"": ""Transaction Profile"", ""impact"": ""-0.3837"", ""direction"": ""decreased_risk""}, {""feature"": ""V12"", ""category"": ""Transaction Profile"", ""impact"": ""-0.2209"", ""direction"": ""decreased_risk""}, {""feature"": ""V150"", ""category"": ""Network Context"", ""impact"": ""-0.1198"", ""direction"": ""decreased_risk""}, {""feature"": ""V126"", ""category"": ""Network Context"", ""impact"": ""-0.1193"", ""direction"": ""decreased_risk""}]"
72631257,0.9929,suspicious,"[{""feature"": ""V54"", ""category"": ""Transaction Profile"", ""impact"": ""+1.1973"", ""direction"": ""increased_risk""}, {""feature"": ""V91"", ""category"": ""Transaction Profile"", ""impact"": ""+1.1506"", ""direction"": ""increased_risk""}, {""feature"": ""V77"", ""category"": ""Transaction Profile"", ""impact"": ""+0.7905"", ""direction"": ""increased_risk""}, {""feature"": ""V162"", ""category"": ""Network Context"", ""impact"": ""+0.6145"", ""direction"": ""increased_risk""}, {""feature"": ""V133"", ""category"": ""Network Context"", ""impact"": ""+0.5225"", ""direction"": ""increased_risk""}]","[{""feature"": ""V107"", ""category"": ""Network Context"", ""impact"": ""-0.1423"", ""direction"": ""decreased_risk""}, {""feature"": ""V3"", ""category"": ""Transaction Profile"", ""impact"": ""-0.1382"", ""direction"": ""decreased_risk""}, {""feature"": ""V128"", ""category"": ""Network Context"", ""impact"": ""-0.0969"", ""direction"": ""decreased_risk""}, {""feature"": ""V144"", ""category"": ""Network Context"", ""impact"": ""-0.0921"", ""direction"": ""decreased_risk""}, {""feature"": ""V108"", ""category"": ""Network Context"", ""impact"": ""-0.0782"", ""direction"": ""decreased_risk""}]"
72601861,0.9923,suspicious,"[{""feature"": ""V54"", ""category"": ""Transaction Profile"", ""impact"": ""+1.1573"", ""direction"": ""increased_risk""}, {""feature"": ""V91"", ""category"": ""Transaction Profile"", ""impact"": ""+1.1245"", ""direction"": ""increased_risk""}, {""feature"": ""V77"", ""category"": ""Transaction Profile"", ""impact"": ""+0.7958"", ""direction"": ""increased_risk""}, {""feature"": ""V162"", ""category"": ""Network Context"", ""impact"": ""+0.6159"", ""direction"": ""increased_risk""}, {""feature"": ""V133"", ""category"": ""Network Context"", ""impact"": ""+0.5135"", ""direction"": ""increased_risk""}]","[{""feature"": ""V107"", ""category"": ""Network Context"", ""impact"": ""-0.1272"", ""direction"": ""decreased_risk""}, {""feature"": ""V128"", ""category"": ""Network Context"", ""impact"": ""-0.1156"", ""direction"": ""decreased_risk""}, {""feature"": ""V144"", ""category"": ""Network Context"", ""impact"": ""-0.0969"", ""direction"": ""decreased_risk""}, {""feature"": ""V108"", ""category"": ""Network Context"", ""impact"": ""-0.0780"", ""direction"": ""decreased_risk""}, {""feature"": ""V132"", ""category"": ""Network Context"", ""impact"": ""-0.0613"", ""direction"": ""decreased_risk""}]"
71988925,0.992,suspicious,"[{""feature"": ""V54"", ""category"": ""Transaction Profile"", ""impact"": ""+1.3690"", ""direction"": ""increased_risk""}, {""feature"": ""V91"", ""category"": ""Transaction Profile"", ""impact"": ""+1.0291"", ""direction"": ""increased_risk""}, {""feature"": ""V77"", ""category"": ""Transaction Profile"", ""impact"": ""+0.7725"", ""direction"": ""increased_risk""}, {""feature"": ""V162"", ""category"": ""Network Context"", ""impact"": ""+0.5971"", ""direction"": ""increased_risk""}, {""feature"": ""V133"", ""category"": ""Network Context"", ""impact"": ""+0.4923"", ""direction"": ""increased_risk""}]","[{""feature"": ""V12"", ""category"": ""Transaction Profile"", ""impact"": ""-0.1184"", ""direction"": ""decreased_risk""}, {""feature"": ""V17"", ""category"": ""Transaction Profile"", ""impact"": ""-0.1146"", ""direction"": ""decreased_risk""}, {""feature"": ""V107"", ""category"": ""Network Context"", ""impact"": ""-0.1125"", ""direction"": ""decreased_risk""}, {""feature"": ""V128"", ""category"": ""Network Context"", ""impact"": ""-0.0956"", ""direction"": ""decreased_risk""}, {""feature"": ""V139"", ""category"": ""Network Context"", ""impact"": ""-0.0698"", ""direction"": ""decreased_risk""}]"
12779550,0.9916,suspicious,"[{""feature"": ""V54"", ""category"": ""Transaction Profile"", ""impact"": ""+1.2132"", ""direction"": ""increased_risk""}, {""feature"": ""V91"", ""category"": ""Transaction Profile"", ""impact"": ""+1.0192"", ""direction"": ""increased_risk""}, {""feature"": ""V77"", ""category"": ""Transaction Profile"", ""impact"": ""+0.5710"", ""direction"": ""increased_risk""}, {""feature"": ""V162"", ""category"": ""Network Context"", ""impact"": ""+0.5289"", ""direction"": ""increased_risk""}, {""feature"": ""V133"", ""category"": ""Network Context"", ""impact"": ""+0.4911"", ""direction"": ""increased_risk""}]","[{""feature"": ""V126"", ""category"": ""Network Context"", ""impact"": ""-1.1930"", ""direction"": ""decreased_risk""}, {""feature"": ""V68"", ""category"": ""Transaction Profile"", ""impact"": ""-0.1302"", ""direction"": ""decreased_risk""}, {""feature"": ""V108"", ""category"": ""Network Context"", ""impact"": ""-0.1234"", ""direction"": ""decreased_risk""}, {""feature"": ""V107"", ""category"": ""Network Context"", ""impact"": ""-0.1091"", ""direction"": ""decreased_risk""}, {""feature"": ""V144"", ""category"": ""Network Context"", ""impact"": ""-0.0960"", ""direction"": ""decreased_risk""}]"
12782051,0.9916,suspicious,"[{""feature"": ""V54"", ""category"": ""Transaction Profile"", ""impact"": ""+1.2573"", ""direction"": ""increased_risk""}, {""feature"": ""V91"", ""category"": ""Transaction Profile"", ""impact"": ""+1.0283"", ""direction"": ""increased_risk""}, {""feature"": ""V77"", ""category"": ""Transaction Profile"", ""impact"": ""+0.5734"", ""direction"": ""increased_risk""}, {""feature"": ""V162"", ""category"": ""Network Context"", ""impact"": ""+0.5405"", ""direction"": ""increased_risk""}, {""feature"": ""V133"", ""category"": ""Network Context"", ""impact"": ""+0.4932"", ""direction"": ""increased_risk""}]","[{""feature"": ""V126"", ""category"": ""Network Context"", ""impact"": ""-1.1693"", ""direction"": ""decreased_risk""}, {""feature"": ""V3"", ""category"": ""Transaction Profile"", ""impact"": ""-0.1901"", ""direction"": ""decreased_risk""}, {""feature"": ""V68"", ""category"": ""Transaction Profile"", ""impact"": ""-0.1311"", ""direction"": ""decreased_risk""}, {""feature"": ""V108"", ""category"": ""Network Context"", ""impact"": ""-0.1235"", ""direction"": ""decreased_risk""}, {""feature"": ""V107"", ""category"": ""Network Context"", ""impact"": ""-0.1220"", ""direction"": ""decreased_risk""}]"
96925342,0.9913,suspicious,"[{""feature"": ""V91"", ""category"": ""Transaction Profile"", ""impact"": ""+1.1709"", ""direction"": ""increased_risk""}, {""feature"": ""V54"", ""category"": ""Transaction Profile"", ""impact"": ""+1.1465"", ""direction"": ""increased_risk""}, {""feature"": ""V77"", ""category"": ""Transaction Profile"", ""impact"": ""+0.6702"", ""direction"": ""increased_risk""}, {""feature"": ""V133"", ""category"": ""Network Context"", ""impact"": ""+0.4814"", ""direction"": ""increased_risk""}, {""feature"": ""V128"", ""category"": ""Network Context"", ""impact"": ""+0.4810"", ""direction"": ""increased_risk""}]","[{""feature"": ""V164"", ""category"": ""Network Context"", ""impact"": ""-0.1277"", ""direction"": ""decreased_risk""}, {""feature"": ""V3"", ""category"": ""Transaction Profile"", ""impact"": ""-0.1273"", ""direction"": ""decreased_risk""}, {""feature"": ""V108"", ""category"": ""Network Context"", ""impact"": ""-0.1198"", ""direction"": ""decreased_risk""}, {""feature"": ""V107"", ""category"": ""Network Context"", ""impact"": ""-0.1150"", ""direction"": ""decreased_risk""}, {""feature"": ""V139"", ""category"": ""Network Context"", ""impact"": ""-0.0734"", ""direction"": ""decreased_risk""}]"
71990384,0.9912,suspicious,"[{""feature"": ""V91"", ""category"": ""Transaction Profile"", ""impact"": ""+1.3053"", ""direction"": ""increased_risk""}, {""feature"": ""V54"", ""category"": ""Transaction Profile"", ""impact"": ""+1.1147"", ""direction"": ""increased_risk""}, {""feature"": ""V77"", ""category"": ""Transaction Profile"", ""impact"": ""+0.8195"", ""direction"": ""increased_risk""}, {""feature"": ""V133"", ""category"": ""Network Context"", ""impact"": ""+0.5331"", ""direction"": ""increased_risk""}, {""feature"": ""V56"", ""category"": ""Transaction Profile"", ""impact"": ""+0.3537"", ""direction"": ""increased_risk""}]","[{""feature"": ""V3"", ""category"": ""Transaction Profile"", ""impact"": ""-0.2250"", ""direction"": ""decreased_risk""}, {""feature"": ""V107"", ""category"": ""Network Context"", ""impact"": ""-0.1903"", ""direction"": ""decreased_risk""}, {""feature"": ""V164"", ""category"": ""Network Context"", ""impact"": ""-0.1315"", ""direction"": ""decreased_risk""}, {""feature"": ""V53"", ""category"": ""Transaction Profile"", ""impact"": ""-0.1296"", ""direction"": ""decreased_risk""}, {""feature"": ""V144"", ""category"": ""Network Context"", ""impact"": ""-0.1235"", ""direction"": ""decreased_risk""}]"
71992858,0.991,suspicious,"[{""feature"": ""V54"", ""category"": ""Transaction Profile"", ""impact"": ""+1.2086"", ""direction"": ""increased_risk""}, {""feature"": ""V91"", ""category"": ""Transaction Profile"", ""impact"": ""+1.1625"", ""direction"": ""increased_risk""}, {""feature"": ""V77"", ""category"": ""Transaction Profile"", ""impact"": ""+0.8652"", ""direction"": ""increased_risk""}, {""feature"": ""V162"", ""category"": ""Network Context"", ""impact"": ""+0.6500"", ""direction"": ""increased_risk""}, {""feature"": ""V133"", ""category"": ""Network Context"", ""impact"": ""+0.5206"", ""direction"": ""increased_risk""}]","[{""feature"": ""V4"", ""category"": ""Transaction Profile"", ""impact"": ""-0.3686"", ""direction"": ""decreased_risk""}, {""feature"": ""V3"", ""category"": ""Transaction Profile"", ""impact"": ""-0.2058"", ""direction"": ""decreased_risk""}, {""feature"": ""V107"", ""category"": ""Network Context"", ""impact"": ""-0.1428"", ""direction"": ""decreased_risk""}, {""feature"": ""V150"", ""category"": ""Network Context"", ""impact"": ""-0.1193"", ""direction"": ""decreased_risk""}, {""feature"": ""V139"", ""category"": ""Network Context"", ""impact"": ""-0.0926"", ""direction"": ""decreased_risk""}]"
72629836,0.991,suspicious,"[{""feature"": ""V54"", ""category"": ""Transaction Profile"", ""impact"": ""+1.1509"", ""direction"": ""increased_risk""}, {""feature"": ""V91"", ""category"": ""Transaction Profile"", ""impact"": ""+1.1284"", ""direction"": ""increased_risk""}, {""feature"": ""V77"", ""category"": ""Transaction Profile"", ""impact"": ""+0.8105"", ""direction"": ""increased_risk""}, {""feature"": ""V162"", ""category"": ""Network Context"", ""impact"": ""+0.6159"", ""direction"": ""increased_risk""}, {""feature"": ""V133"", ""category"": ""Network Context"", ""impact"": ""+0.5133"", ""direction"": ""increased_risk""}]","[{""feature"": ""V107"", ""category"": ""Network Context"", ""impact"": ""-0.1324"", ""direction"": ""decreased_risk""}, {""feature"": ""V144"", ""category"": ""Network Context"", ""impact"": ""-0.0958"", ""direction"": ""decreased_risk""}, {""feature"": ""V128"", ""category"": ""Network Context"", ""impact"": ""-0.0802"", ""direction"": ""decreased_risk""}, {""feature"": ""V139"", ""category"": ""Network Context"", ""impact"": ""-0.0617"", ""direction"": ""decreased_risk""}, {""feature"": ""V12"", ""category"": ""Transaction Profile"", ""impact"": ""-0.0599"", ""direction"": ""decreased_risk""}]"
73001655,0.9909,suspicious,"[{""feature"": ""V54"", ""category"": ""Transaction Profile"", ""impact"": ""+1.1379"", ""direction"": ""increased_risk""}, {""feature"": ""V91"", ""category"": ""Transaction Profile"", ""impact"": ""+1.0085"", ""direction"": ""increased_risk""}, {""feature"": ""V77"", ""category"": ""Transaction Profile"", ""impact"": ""+0.7008"", ""direction"": ""increased_risk""}, {""feature"": ""V162"", ""category"": ""Network Context"", ""impact"": ""+0.5528"", ""direction"": ""increased_risk""}, {""feature"": ""V128"", ""category"": ""Network Context"", ""impact"": ""+0.5059"", ""direction"": ""increased_risk""}]","[{""feature"": ""V108"", ""category"": ""Network Context"", ""impact"": ""-0.1361"", ""direction"": ""decreased_risk""}, {""feature"": ""V144"", ""category"": ""Network Context"", ""impact"": ""-0.1288"", ""direction"": ""decreased_risk""}, {""feature"": ""V107"", ""category"": ""Network Context"", ""impact"": ""-0.1117"", ""direction"": ""decreased_risk""}, {""feature"": ""V53"", ""category"": ""Transaction Profile"", ""impact"": ""-0.1033"", ""direction"": ""decreased_risk""}, {""feature"": ""V139"", ""category"": ""Network Context"", ""impact"": ""-0.0834"", ""direction"": ""decreased_risk""}]"
71988421,0.9907,suspicious,"[{""feature"": ""V91"", ""category"": ""Transaction Profile"", ""impact"": ""+1.2658"", ""direction"": ""increased_risk""}, {""feature"": ""V54"", ""category"": ""Transaction Profile"", ""impact"": ""+1.0874"", ""direction"": ""increased_risk""}, {""feature"": ""V77"", ""category"": ""Transaction Profile"", ""impact"": ""+0.8080"", ""direction"": ""increased_risk""}, {""feature"": ""V133"", ""category"": ""Network Context"", ""impact"": ""+0.5138"", ""direction"": ""increased_risk""}, {""feature"": ""V56"", ""category"": ""Transaction Profile"", ""impact"": ""+0.3745"", ""direction"": ""increased_risk""}]","[{""feature"": ""V107"", ""category"": ""Network Context"", ""impact"": ""-0.1772"", ""direction"": ""decreased_risk""}, {""feature"": ""V164"", ""category"": ""Network Context"", ""impact"": ""-0.1317"", ""direction"": ""decreased_risk""}, {""feature"": ""V144"", ""category"": ""Network Context"", ""impact"": ""-0.1216"", ""direction"": ""decreased_risk""}, {""feature"": ""V128"", ""category"": ""Network Context"", ""impact"": ""-0.1013"", ""direction"": ""decreased_risk""}, {""feature"": ""V108"", ""category"": ""Network Context"", ""impact"": ""-0.0764"", ""direction"": ""decreased_risk""}]"
